<details>
<summary>Included module versions</summary>

| Module | Version |
| ------ | ------- |
| bringyourownideas/silverstripe-composer-update-checker | 4.2.0 |
| bringyourownideas/silverstripe-maintenance | 3.2.0 |
| colymba/gridfield-bulk-editing-tools | 4.0.2 |
| cwp/agency-extensions | 3.3.0 |
| cwp/starter-theme | 4.2.0 |
| cwp/watea-theme | 4.2.0 |
| dnadesign/silverstripe-elemental | 5.3.0 |
| dnadesign/silverstripe-elemental-userforms | 4.1.1 |
| silverstripe-themes/simple | 3.3.1 |
| silverstripe/admin | 2.3.0 |
| silverstripe/asset-admin | 2.3.0 |
| silverstripe/assets | 2.3.0 |
| silverstripe/auditor | 3.2.0 |
| silverstripe/blog | 4.3.0 |
| silverstripe/campaign-admin | 2.3.0 |
| silverstripe/cms | 5.3.0 |
| silverstripe/config | 2.1.0 |
| silverstripe/contentreview | 5.3.0 |
| silverstripe/crontask | 3.0.3 |
| silverstripe/documentconverter | 3.3.0 |
| silverstripe/dynamodb | 5.0.1 |
| silverstripe/elemental-bannerblock | 3.3.0 |
| silverstripe/elemental-fileblock | 3.1.0 |
| silverstripe/environmentcheck | 3.0.1 |
| silverstripe/errorpage | 2.3.0 |
| silverstripe/externallinks | 3.3.0 |
| silverstripe/framework | 5.3.0 |
| silverstripe/graphql | 5.3.0 |
| silverstripe/gridfieldqueuedexport | 3.3.0 |
| silverstripe/hybridsessions | 3.0.3 |
| silverstripe/iframe | 3.3.0 |
| silverstripe/installer | 5.3.0 |
| silverstripe/ldap | 2.3.0 |
| silverstripe/linkfield | 4.1.0 |
| silverstripe/login-forms | 5.3.0 |
| silverstripe/lumberjack | 3.2.0 |
| silverstripe/mfa | 5.3.0 |
| silverstripe/mimevalidator | 3.2.0 |
| silverstripe/realme | 5.4.0 |
| silverstripe/recipe-authoring-tools | 2.3.0 |
| silverstripe/recipe-blog | 2.3.0 |
| silverstripe/recipe-cms | 5.3.0 |
| silverstripe/recipe-collaboration | 2.3.0 |
| silverstripe/recipe-content-blocks | 3.3.0 |
| silverstripe/recipe-core | 5.3.0 |
| silverstripe/recipe-form-building | 2.3.0 |
| silverstripe/recipe-kitchen-sink | 5.3.0 |
| silverstripe/recipe-plugin | 2.0.0 |
| silverstripe/recipe-reporting-tools | 2.3.0 |
| silverstripe/recipe-services | 2.3.0 |
| silverstripe/registry | 3.3.0 |
| silverstripe/reports | 5.3.0 |
| silverstripe/restfulserver | 3.0.0 |
| silverstripe/securityreport | 3.2.0 |
| silverstripe/segment-field | 3.3.0 |
| silverstripe/session-manager | 2.3.0 |
| silverstripe/sharedraftcontent | 3.3.0 |
| silverstripe/siteconfig | 5.3.0 |
| silverstripe/sitewidecontent-report | 4.3.0 |
| silverstripe/spamprotection | 4.3.0 |
| silverstripe/staticpublishqueue | 6.3.0 |
| silverstripe/subsites | 3.3.0 |
| silverstripe/tagfield | 3.3.0 |
| silverstripe/taxonomy | 3.3.0 |
| silverstripe/textextraction | 4.2.0 |
| silverstripe/totp-authenticator | 5.3.0 |
| silverstripe/userforms | 6.3.0 |
| silverstripe/vendor-plugin | 2.0.2 |
| silverstripe/versioned | 2.3.0 |
| silverstripe/versioned-admin | 2.3.0 |
| silverstripe/versionfeed | 3.3.0 |
| silverstripe/webauthn-authenticator | 5.3.0 |
| symbiote/silverstripe-advancedworkflow | 6.3.0 |
| symbiote/silverstripe-gridfieldextensions | 4.0.5 |
| symbiote/silverstripe-multivaluefield | 6.2.0 |
| symbiote/silverstripe-queuedjobs | 5.2.0 |
| tractorcow/silverstripe-fluent | 7.1.0 |

</details>
